contador; dataExecucaoComando01; timeStampExecucaoComando01; consumoCPU01; consumoCPU02; dataExecucaoComando02; timeStampExecucaoComando02; consumoMemoriaRAM; consumoSWAP
103;2025-02-10 19:54:19.024847;1739217259.024847;0.3;0.0;2025-02-10 19:54:19.188715;1739217259.188715;131660;0
104;2025-02-10 19:54:19.196629;1739217259.196629;0.3;0.0;2025-02-10 19:54:19.359327;1739217259.359327;131680;0
105;2025-02-10 19:54:19.365282;1739217259.365282;0.3;0.0;2025-02-10 19:54:19.530153;1739217259.530153;131620;0
106;2025-02-10 19:54:19.538347;1739217259.538347;0.3;0.0;2025-02-10 19:54:19.707859;1739217259.707859;131720;0
107;2025-02-10 19:54:19.714343;1739217259.714343;0.3;0.0;2025-02-10 19:54:19.878357;1739217259.878357;131684;0
108;2025-02-10 19:54:19.884193;1739217259.884193;0.3;0.0;2025-02-10 19:54:20.046835;1739217260.046835;131672;0
109;2025-02-10 19:54:20.055132;1739217260.055132;0.3;0.0;2025-02-10 19:54:20.219995;1739217260.219995;131684;0
110;2025-02-10 19:54:20.225731;1739217260.225731;0.3;0.0;2025-02-10 19:54:20.388893;1739217260.388893;131724;0
111;2025-02-10 19:54:20.394273;1739217260.394273;0.3;0.0;2025-02-10 19:54:20.557664;1739217260.557664;131688;0
112;2025-02-10 19:54:20.562815;1739217260.562815;0.3;0.0;2025-02-10 19:54:20.727381;1739217260.727381;131608;0
113;2025-02-10 19:54:20.734397;1739217260.734397;0.3;0.0;2025-02-10 19:54:20.897830;1739217260.89783;131672;0
114;2025-02-10 19:54:20.901860;1739217260.90186;0.3;0.0;2025-02-10 19:54:21.066211;1739217261.066211;131748;0
115;2025-02-10 19:54:21.070931;1739217261.070931;0.3;0.0;2025-02-10 19:54:21.234509;1739217261.234509;131856;0
116;2025-02-10 19:54:21.240348;1739217261.240348;0.3;0.0;2025-02-10 19:54:21.402521;1739217261.402521;131700;0
117;2025-02-10 19:54:21.407965;1739217261.407965;0.3;0.0;2025-02-10 19:54:21.570629;1739217261.570629;131760;0
118;2025-02-10 19:54:21.578128;1739217261.578128;0.3;0.0;2025-02-10 19:54:21.744547;1739217261.744547;131788;0
119;2025-02-10 19:54:21.750027;1739217261.750027;0.3;0.0;2025-02-10 19:54:21.912436;1739217261.912436;131688;0
120;2025-02-10 19:54:21.918166;1739217261.918166;0.3;0.0;2025-02-10 19:54:22.079333;1739217262.079333;131752;0
121;2025-02-10 19:54:22.085493;1739217262.085493;0.3;0.0;2025-02-10 19:54:22.248325;1739217262.248325;131736;0
122;2025-02-10 19:54:22.254507;1739217262.254507;0.3;0.0;2025-02-10 19:54:22.421657;1739217262.421657;131740;0
123;2025-02-10 19:54:22.426824;1739217262.426824;0.3;0.0;2025-02-10 19:54:22.593318;1739217262.593318;131696;0
124;2025-02-10 19:54:22.602533;1739217262.602533;0.3;0.0;2025-02-10 19:54:22.766239;1739217262.766239;131704;0
125;2025-02-10 19:54:22.771912;1739217262.771912;0.3;0.0;2025-02-10 19:54:22.935737;1739217262.935737;131600;0
126;2025-02-10 19:54:22.941882;1739217262.941882;0.3;0.0;2025-02-10 19:54:23.108389;1739217263.108389;131660;0
127;2025-02-10 19:54:23.113455;1739217263.113455;0.3;0.0;2025-02-10 19:54:23.276308;1739217263.276308;131696;0
128;2025-02-10 19:54:23.281654;1739217263.281654;0.3;0.0;2025-02-10 19:54:23.446730;1739217263.44673;131580;0
129;2025-02-10 19:54:23.454579;1739217263.454579;0.3;0.0;2025-02-10 19:54:23.617402;1739217263.617402;131608;0
130;2025-02-10 19:54:23.623097;1739217263.623097;0.3;0.0;2025-02-10 19:54:23.788689;1739217263.788689;131660;0
131;2025-02-10 19:54:23.793789;1739217263.793789;0.3;0.0;2025-02-10 19:54:23.956376;1739217263.956376;131692;0
132;2025-02-10 19:54:23.961947;1739217263.961947;0.3;0.0;2025-02-10 19:54:24.129899;1739217264.129899;131716;0
133;2025-02-10 19:54:24.135836;1739217264.135836;0.3;0.0;2025-02-10 19:54:24.300555;1739217264.300555;131720;0
134;2025-02-10 19:54:24.305788;1739217264.305788;0.3;0.0;2025-02-10 19:54:24.469907;1739217264.469907;131888;0
135;2025-02-10 19:54:24.475000;1739217264.475;0.3;0.0;2025-02-10 19:54:24.637737;1739217264.637737;131772;0
136;2025-02-10 19:54:24.644021;1739217264.644021;0.3;0.0;2025-02-10 19:54:24.805710;1739217264.80571;131768;0
137;2025-02-10 19:54:24.811594;1739217264.811594;0.3;0.0;2025-02-10 19:54:24.978578;1739217264.978578;131796;0
138;2025-02-10 19:54:24.984234;1739217264.984234;0.3;0.0;2025-02-10 19:54:25.149923;1739217265.149923;131672;0
139;2025-02-10 19:54:25.154911;1739217265.154911;0.3;0.0;2025-02-10 19:54:25.321118;1739217265.321118;131752;0
140;2025-02-10 19:54:25.326579;1739217265.326579;0.3;0.0;2025-02-10 19:54:25.491452;1739217265.491452;131772;0
141;2025-02-10 19:54:25.496913;1739217265.496913;0.3;0.0;2025-02-10 19:54:25.659677;1739217265.659677;131800;0
142;2025-02-10 19:54:25.665619;1739217265.665619;0.3;0.0;2025-02-10 19:54:25.828956;1739217265.828956;131828;0
143;2025-02-10 19:54:25.834133;1739217265.834133;0.3;0.0;2025-02-10 19:54:26.001060;1739217266.00106;131760;0
144;2025-02-10 19:54:26.006533;1739217266.006533;0.3;0.0;2025-02-10 19:54:26.169228;1739217266.169228;131632;0
145;2025-02-10 19:54:26.175967;1739217266.175967;0.3;0.0;2025-02-10 19:54:26.338889;1739217266.338889;131784;0
146;2025-02-10 19:54:26.343931;1739217266.343931;0.3;0.0;2025-02-10 19:54:26.509012;1739217266.509012;131780;0
147;2025-02-10 19:54:26.513644;1739217266.513644;0.3;0.0;2025-02-10 19:54:26.675872;1739217266.675872;131748;0
148;2025-02-10 19:54:26.680870;1739217266.68087;0.3;0.0;2025-02-10 19:54:26.855712;1739217266.855712;131712;0
149;2025-02-10 19:54:26.861467;1739217266.861467;0.3;0.0;2025-02-10 19:54:27.026314;1739217267.026314;131740;0
150;2025-02-10 19:54:27.031564;1739217267.031564;0.3;0.0;2025-02-10 19:54:27.195193;1739217267.195193;131660;0
151;2025-02-10 19:54:27.199767;1739217267.199767;0.3;0.0;2025-02-10 19:54:27.362102;1739217267.362102;131768;0
152;2025-02-10 19:54:27.370049;1739217267.370049;0.3;0.0;2025-02-10 19:54:27.531524;1739217267.531524;131724;0
153;2025-02-10 19:54:27.536361;1739217267.536361;0.3;0.0;2025-02-10 19:54:27.702487;1739217267.702487;131616;0
154;2025-02-10 19:54:27.707357;1739217267.707357;0.3;0.0;2025-02-10 19:54:27.871280;1739217267.87128;131620;0
155;2025-02-10 19:54:27.876255;1739217267.876255;0.3;0.0;2025-02-10 19:54:28.040534;1739217268.040534;131656;0
156;2025-02-10 19:54:28.045608;1739217268.045608;0.3;0.0;2025-02-10 19:54:28.208760;1739217268.20876;131652;0
157;2025-02-10 19:54:28.216338;1739217268.216338;0.3;0.0;2025-02-10 19:54:28.378059;1739217268.378059;131652;0
158;2025-02-10 19:54:28.385789;1739217268.385789;0.3;0.0;2025-02-10 19:54:28.551272;1739217268.551272;131612;0
159;2025-02-10 19:54:28.559914;1739217268.559914;0.3;0.0;2025-02-10 19:54:28.725795;1739217268.725795;131704;0
160;2025-02-10 19:54:28.732064;1739217268.732064;0.3;0.0;2025-02-10 19:54:28.895019;1739217268.895019;131740;0
161;2025-02-10 19:54:28.900008;1739217268.900008;0.3;0.0;2025-02-10 19:54:29.064434;1739217269.064434;131704;0
162;2025-02-10 19:54:29.069407;1739217269.069407;0.3;0.0;2025-02-10 19:54:29.232536;1739217269.232536;131668;0
163;2025-02-10 19:54:29.238250;1739217269.23825;0.3;0.0;2025-02-10 19:54:29.400701;1739217269.400701;131500;0
164;2025-02-10 19:54:29.406881;1739217269.406881;0.3;0.0;2025-02-10 19:54:29.568496;1739217269.568496;131692;0
165;2025-02-10 19:54:29.574258;1739217269.574258;0.3;0.0;2025-02-10 19:54:29.736560;1739217269.73656;131688;0
166;2025-02-10 19:54:29.739984;1739217269.739984;0.3;0.0;2025-02-10 19:54:29.902641;1739217269.902641;131624;0
167;2025-02-10 19:54:29.910243;1739217269.910243;0.3;0.0;2025-02-10 19:54:30.081720;1739217270.08172;131660;0
168;2025-02-10 19:54:30.087734;1739217270.087734;0.3;0.0;2025-02-10 19:54:30.251184;1739217270.251184;131584;0
169;2025-02-10 19:54:30.257393;1739217270.257393;0.3;0.0;2025-02-10 19:54:30.419401;1739217270.419401;131696;0
170;2025-02-10 19:54:30.425344;1739217270.425344;0.3;0.0;2025-02-10 19:54:30.594894;1739217270.594894;131596;0
171;2025-02-10 19:54:30.599812;1739217270.599812;0.3;0.0;2025-02-10 19:54:30.765032;1739217270.765032;131604;0
172;2025-02-10 19:54:30.770735;1739217270.770735;0.3;0.0;2025-02-10 19:54:30.934510;1739217270.93451;131600;0
173;2025-02-10 19:54:30.942688;1739217270.942688;0.3;0.0;2025-02-10 19:54:31.106425;1739217271.106425;131708;0
174;2025-02-10 19:54:31.112768;1739217271.112768;0.3;0.0;2025-02-10 19:54:31.276217;1739217271.276217;131744;0
175;2025-02-10 19:54:31.281495;1739217271.281495;0.3;0.0;2025-02-10 19:54:31.445048;1739217271.445048;131844;0
176;2025-02-10 19:54:31.455526;1739217271.455526;0.3;0.0;2025-02-10 19:54:31.620832;1739217271.620832;131660;0
177;2025-02-10 19:54:31.625968;1739217271.625968;0.3;0.0;2025-02-10 19:54:31.787543;1739217271.787543;131648;0
178;2025-02-10 19:54:31.792510;1739217271.79251;0.3;0.0;2025-02-10 19:54:31.954812;1739217271.954812;131708;0
179;2025-02-10 19:54:31.960600;1739217271.9606;0.3;0.0;2025-02-10 19:54:32.128121;1739217272.128121;131684;0
180;2025-02-10 19:54:32.133793;1739217272.133793;0.3;0.0;2025-02-10 19:54:32.298881;1739217272.298881;131664;0
181;2025-02-10 19:54:32.304001;1739217272.304001;0.3;0.0;2025-02-10 19:54:32.467902;1739217272.467902;131628;0
182;2025-02-10 19:54:32.473535;1739217272.473535;0.3;0.0;2025-02-10 19:54:32.635013;1739217272.635013;131656;0
183;2025-02-10 19:54:32.640929;1739217272.640929;0.3;0.0;2025-02-10 19:54:32.806799;1739217272.806799;131620;0
184;2025-02-10 19:54:32.812567;1739217272.812567;0.3;0.0;2025-02-10 19:54:32.976843;1739217272.976843;131592;0
185;2025-02-10 19:54:32.982630;1739217272.98263;0.3;0.0;2025-02-10 19:54:33.146150;1739217273.14615;131512;0
186;2025-02-10 19:54:33.151389;1739217273.151389;0.3;0.0;2025-02-10 19:54:33.315066;1739217273.315066;131600;0
187;2025-02-10 19:54:33.320416;1739217273.320416;0.3;0.0;2025-02-10 19:54:33.485248;1739217273.485248;131448;0
188;2025-02-10 19:54:33.491973;1739217273.491973;0.3;0.0;2025-02-10 19:54:33.655553;1739217273.655553;131688;0
189;2025-02-10 19:54:33.661285;1739217273.661285;0.3;0.0;2025-02-10 19:54:33.828190;1739217273.82819;131612;0
190;2025-02-10 19:54:33.833273;1739217273.833273;0.3;0.0;2025-02-10 19:54:33.997175;1739217273.997175;131576;0
191;2025-02-10 19:54:34.003187;1739217274.003187;0.3;0.0;2025-02-10 19:54:34.166627;1739217274.166627;131628;0
192;2025-02-10 19:54:34.170802;1739217274.170802;0.3;0.0;2025-02-10 19:54:34.332763;1739217274.332763;131604;0
193;2025-02-10 19:54:34.336994;1739217274.336994;0.3;0.0;2025-02-10 19:54:34.506138;1739217274.506138;131672;0
194;2025-02-10 19:54:34.511200;1739217274.5112;0.3;0.0;2025-02-10 19:54:34.675331;1739217274.675331;131708;0
195;2025-02-10 19:54:34.681784;1739217274.681784;0.3;0.0;2025-02-10 19:54:34.843059;1739217274.843059;131616;0
196;2025-02-10 19:54:34.848721;1739217274.848721;0.3;0.0;2025-02-10 19:54:35.010137;1739217275.010137;131644;0
197;2025-02-10 19:54:35.015720;1739217275.01572;0.3;0.0;2025-02-10 19:54:35.181755;1739217275.181755;131616;0
198;2025-02-10 19:54:35.187750;1739217275.18775;0.3;0.0;2025-02-10 19:54:35.351532;1739217275.351532;131580;0
199;2025-02-10 19:54:35.356711;1739217275.356711;0.3;0.0;2025-02-10 19:54:35.520288;1739217275.520288;131516;0
200;2025-02-10 19:54:35.526073;1739217275.526073;0.3;0.0;2025-02-10 19:54:35.690672;1739217275.690672;131524;0
201;2025-02-10 19:54:35.695084;1739217275.695084;0.3;0.0;2025-02-10 19:54:35.859835;1739217275.859835;131576;0
202;2025-02-10 19:54:35.869402;1739217275.869402;0.3;0.0;2025-02-10 19:54:36.035292;1739217276.035292;131604;0
203;2025-02-10 19:54:36.040532;1739217276.040532;0.3;0.0;2025-02-10 19:54:36.205102;1739217276.205102;131608;0
204;2025-02-10 19:54:36.211748;1739217276.211748;0.3;0.0;2025-02-10 19:54:36.375596;1739217276.375596;131504;0
205;2025-02-10 19:54:36.380599;1739217276.380599;0.3;0.0;2025-02-10 19:54:36.545418;1739217276.545418;131632;0
206;2025-02-10 19:54:36.550263;1739217276.550263;0.3;0.0;2025-02-10 19:54:36.713731;1739217276.713731;131672;0
207;2025-02-10 19:54:36.719340;1739217276.71934;0.3;0.0;2025-02-10 19:54:36.883062;1739217276.883062;131632;0
208;2025-02-10 19:54:36.888499;1739217276.888499;0.3;0.0;2025-02-10 19:54:37.050808;1739217277.050808;131668;0
209;2025-02-10 19:54:37.057022;1739217277.057022;0.3;0.0;2025-02-10 19:54:37.219936;1739217277.219936;131704;0
210;2025-02-10 19:54:37.226092;1739217277.226092;0.3;0.0;2025-02-10 19:54:37.388644;1739217277.388644;131684;0
211;2025-02-10 19:54:37.394447;1739217277.394447;0.3;0.0;2025-02-10 19:54:37.557247;1739217277.557247;131724;0
212;2025-02-10 19:54:37.562312;1739217277.562312;0.3;0.0;2025-02-10 19:54:37.726483;1739217277.726483;131760;0
213;2025-02-10 19:54:37.731893;1739217277.731893;0.3;0.0;2025-02-10 19:54:37.894835;1739217277.894835;131804;0
214;2025-02-10 19:54:37.900022;1739217277.900022;0.3;0.0;2025-02-10 19:54:38.064054;1739217278.064054;131640;0
215;2025-02-10 19:54:38.071093;1739217278.071093;0.3;0.0;2025-02-10 19:54:38.240519;1739217278.240519;131628;0
216;2025-02-10 19:54:38.245912;1739217278.245912;0.3;0.0;2025-02-10 19:54:38.408985;1739217278.408985;131556;0
217;2025-02-10 19:54:38.413344;1739217278.413344;0.3;0.0;2025-02-10 19:54:38.576039;1739217278.576039;131560;0
218;2025-02-10 19:54:38.580942;1739217278.580942;0.3;0.0;2025-02-10 19:54:38.743196;1739217278.743196;131588;0
